정식명칭,주요약칭,추가약칭1,추가약칭2,추가약칭3,영문명,영문약칭,분류
기획재정부,기재부,,,Ministry of Economy and Finance,MOEF,중앙행정기관
교육부,교육부,,,Ministry of Education,MOE,중앙행정기관
과학기술정보통신부,과기부,과기정통부,,Ministry of Science and ICT,MSIT,중앙행정기관
외교부,외교부,,,Ministry of Foreign Affairs,MOFA,중앙행정기관
통일부,통일부,,,Ministry of Unification,MOU,중앙행정기관
법무부,법무부,,,Ministry of Justice,MOJ,중앙행정기관
국방부,국방부,,,Ministry of National Defense,MND,중앙행정기관
행정안전부,행안부,,,Ministry of the Interior and Safety,MOIS,중앙행정기관
문화체육관광부,문체부,문화부,관광부,Ministry of Culture Sports and Tourism,MCST,중앙행정기관
농림축산식품부,농식품부,농림부,농축부,Ministry of Agriculture Food and Rural Affairs,MAFRA,중앙행정기관
산업통상자원부,산자부,산업부,통상부,Ministry of Trade Industry and Energy,MOTIE,중앙행정기관
보건복지부,복지부,보건부,,Ministry of Health and Welfare,MOHW,중앙행정기관
환경부,환경부,,,Ministry of Environment,ME,중앙행정기관
고용노동부,고용부,노동부,,Ministry of Employment and Labor,MOEL,중앙행정기관
여성가족부,여가부,,,Ministry of Gender Equality and Family,MOGEF,중앙행정기관
국토교통부,국토부,국교부,,Ministry of Land Infrastructure and Transport,MOLIT,중앙행정기관
해양수산부,해수부,해양부,수산부,Ministry of Oceans and Fisheries,MOF,중앙행정기관
중소벤처기업부,중기부,중소기업부,벤처부,Ministry of SMEs and Startups,MSS,중앙행정기관
국가보훈부,보훈부,,,Ministry of Patriots and Veterans Affairs,MPVA,중앙행정기관
우주항공청,우주청,항공청,,Korea AeroSpace Administration,KASA,중앙행정기관
국무조정실,국조실,,,Office of the Prime Minister,OPM,중앙행정기관
국가정보원,국정원,,,National Intelligence Service,NIS,중앙행정기관
방송통신위원회,방통위,,,Korea Communications Commission,KCC,중앙행정기관
대통령비서실,청와대,용산대통령실,대통령실,Presidential Secretariat,PS,대통령직속
대통령경호처,경호처,,,Presidential Security Service,PSS,대통령직속
국가안보실,안보실,,,National Security Office,NSO,대통령직속
국세청,국세청,,,National Tax Service,NTS,중앙행정기관
관세청,관세청,,,Korea Customs Service,KCS,중앙행정기관
조달청,조달청,,,Public Procurement Service,PPS,중앙행정기관
통계청,통계청,,,Statistics Korea,KOSTAT,중앙행정기관
병무청,병무청,,,Military Manpower Administration,MMA,중앙행정기관
경찰청,경찰청,,,Korean National Police Agency,KNPA,중앙행정기관
소방청,소방청,,,National Fire Agency,NFA,중앙행정기관
문화재청,문화재청,,,Cultural Heritage Administration,CHA,중앙행정기관
농촌진흥청,농진청,,,Rural Development Administration,RDA,중앙행정기관
산림청,산림청,,,Korea Forest Service,KFS,중앙행정기관
특허청,특허청,,,Korean Intellectual Property Office,KIPO,중앙행정기관
기상청,기상청,,,Korea Meteorological Administration,KMA,중앙행정기관
해양경찰청,해경,해양경찰,,Korea Coast Guard,KCG,중앙행정기관
